Interval,Transfer,Bandwidth
0,62.5,524
1,60.5,508
2,60.1,504
3,60.4,506
4,60,503
5,57.9,485
6,60.1,504
7,60,503
8,59.5,499
9,60.2,505
10,59.1,496
11,59.8,501
12,59.2,497
13,58.9,494
14,59.2,497
15,58.6,492
16,58.9,494
17,58.6,492
18,59,495
19,58.2,489
20,58.1,488
21,58.6,492
22,57.8,484
23,58.4,490
24,57.9,485
25,57.9,485
26,57.9,485
27,57,478
28,57.4,481
29,57.5,482
30,57.2,480
31,57,478
32,57.1,479
33,56.8,476
34,56.8,476
35,56.2,472
36,57,478
37,56.2,472
38,56.2,472
39,55.8,468
40,56.5,474
41,55.8,468
42,55.6,467
43,55.6,467
44,55.8,468
45,54.9,460
46,55.5,466
47,54.8,459
48,55.4,465
49,54.8,459
50,54.5,457
51,55.1,462
52,53.9,452
53,54.4,456
54,54.6,458
55,54.1,454
56,53.2,447
57,54,453
58,53.9,452
59,53.1,446
60,53.6,450
61,53.2,447
62,53.5,449
63,52.9,444
64,52.1,437
65,52.8,442
66,52.5,440
67,52.5,440
68,52.5,440
69,52.4,439
70,52,436
71,51.5,432
72,51.5,432
73,52,436
74,50.9,427
75,51.4,431
76,50.9,427
77,51.1,429
78,50.6,425
79,50.9,427
80,50.2,422
81,50.4,423
82,49.9,418
83,50.5,424
84,49.5,415
85,49.6,416
86,49.1,412
87,49.4,414
88,49.6,416
89,48.8,409
90,49,411
91,48.2,405
92,49.1,412
93,48.1,404
94,47.6,400
95,48.5,407
96,47.6,400
97,47.6,400
98,47.4,397
99,47,394
100,47.6,400
101,46.5,390
102,47.4,397
103,46.1,387
104,46.4,389
105,46.5,390
106,45.4,381
107,46.2,388
108,45.5,382
109,45.4,381
110,45.2,380
111,45,377
112,44.9,376
113,44.2,371
114,44.4,372
115,44.4,372
116,43.8,367
117,43.6,366
118,43.8,367
119,43.6,366
120,42.8,359
121,42.9,360
122,43.1,362
123,42.4,355
124,41.8,350
125,42.2,354
126,41.5,348
127,41.8,350
128,40.8,342
129,41.2,346
130,40.8,342
131,40.5,340
132,40.6,341
133,39.8,333
134,40.4,339
135,39.2,329
136,39.2,329
137,39.1,328
138,38.1,320
139,38.4,322
140,38.5,323
141,37.5,315
142,37.5,315
143,37.2,312
144,37.2,312
145,36.5,306
146,36.1,303
147,35.6,299
148,36,302
149,35.2,296
150,35,294
151,34.1,286
152,34.8,292
153,34,285
154,32.9,276
155,33.5,281
156,32.4,272
157,32,268
158,32.2,271
159,31.1,261
160,30.6,257
161,31.1,261
162,30,252
163,28.9,242
164,27.5,231
165,28.2,237
166,28.1,236
167,27.1,228
168,26,218
169,26.5,222
170,24.9,209
171,24.4,204
172,23.4,196
173,22.9,192
174,21.6,181
175,20.4,171
176,18.5,155
177,17.4,146
178,14.1,118
179,4.25,35.7
180,3.38,28.3
181,4.12,34.6
182,3.25,27.3
183,3.88,32.5
184,4.25,35.7
185,3.25,27.3
186,4.12,34.6
187,3.38,28.3
188,4,33.6
189,4.25,35.7
190,3.25,27.3
191,4.25,35.7
192,3.25,27.3
193,4.25,35.7
194,3.25,27.3
195,4.38,36.7
196,3.38,28.3
197,4.25,35.7
198,3.25,27.3
199,4.12,34.6
200,3.75,31.5
201,3.38,28.3
202,4.12,34.6
203,3.25,27.3
204,4.12,34.6
205,4,33.6
206,3.38,28.3
207,4.12,34.6
208,4.12,34.6
209,3.38,28.3
210,3.25,27.3
211,4.25,35.7
212,4.12,34.6
213,3.38,28.3
214,4.25,35.7
215,3.25,27.3
216,4.25,35.7
217,3.25,27.3
218,4.12,34.6
219,3.38,28.3
220,4.12,34.6
221,4.12,34.6
222,3.38,28.3
223,4.12,34.6
224,3.38,28.3
225,3.25,27.3
226,4.62,38.8
227,4.12,34.6
228,3.25,27.3
229,4.25,35.7
230,3.62,30.4
231,3.38,28.3
232,4.12,34.6
233,3.38,28.3
234,4.12,34.6
235,4,33.6
236,3.38,28.3
237,4.12,34.6
238,3.25,27.3
239,4.12,34.6
240,4,33.6
241,3.38,28.3
242,4.12,34.6
243,3.25,27.3
244,4.12,34.6
245,4.12,34.6
246,3.38,28.3
247,4.12,34.6
248,3.25,27.3
249,4.12,34.6
250,3.38,28.3
251,4.12,34.6
252,4.12,34.6
253,3.25,27.3
254,4.12,34.6
255,3.38,28.3
256,4.12,34.6
257,3.38,28.3
258,4.12,34.6
259,3.38,28.3
260,4.12,34.6
261,4.12,34.6
262,3.25,27.3
263,4.25,35.7
264,3.25,27.3
265,4.12,34.6
266,4.12,34.6
267,3.38,28.3
268,4.25,35.7
269,3.25,27.3
270,4.25,35.7
271,3.38,28.3
272,4.12,34.6
273,3.25,27.3
274,4.12,34.6
275,3.38,28.3
276,4.25,35.7
277,3.25,27.3
278,4.12,34.6
279,4.12,34.6
280,3.5,29.4
281,4.12,34.6
282,3.25,27.3
283,4.25,35.7
284,3.38,28.3
285,4.12,34.6
286,3.25,27.3
287,4.12,34.6
288,4.12,34.6
289,3.38,28.3
290,4.12,34.6
291,3.38,28.3
292,4.12,34.6
293,3.38,28.3
294,4,33.6
295,4.12,34.6
296,3.38,28.3
297,4.12,34.6
298,3.25,27.3
299,4.25,35.7
300,3.38,28.3
301,4.25,35.7
302,3.25,27.3
303,4.12,34.6
304,3.38,28.3
305,4.12,34.6
306,4.12,34.6
307,3.38,28.3
308,4.12,34.6
309,3.5,29.4
310,4.12,34.6
311,3.25,27.3
312,4.12,34.6
313,3.38,28.3
314,4.12,34.6
315,3.38,28.3
316,4.12,34.6
317,3.5,29.4
318,4.12,34.6
319,4.12,34.6
320,3.38,28.3
321,4.25,35.7
322,3.25,27.3
323,4.25,35.7
324,3.25,27.3
325,4.25,35.7
326,3.38,28.3
327,4.12,34.6
328,3.25,27.3
329,4.25,35.7
330,3.25,27.3
331,4.12,34.6
332,4.12,34.6
333,3.25,27.3
334,4.25,35.7
335,3.25,27.3
336,4.12,34.6
337,4.12,34.6
338,3.38,28.3
339,2.5,21
340,5,41.9
341,4.12,34.6
342,3.25,27.3
343,4.12,34.6
