Interval,Transfer,Bandwidth
360,3.88,32.5
361,4,33.6
362,3.5,29.4
363,3.88,32.5
364,3.88,32.5
365,3.88,32.5
366,3.88,32.5
367,3.5,29.4
368,3.88,32.5
369,3.88,32.5
370,3.88,32.5
371,3.88,32.5
372,3.62,30.4
373,3.88,32.5
374,3.88,32.5
375,3.88,32.5
376,3.12,26.2
377,3.88,32.5
378,3.88,32.5
379,3.88,32.5
380,3.5,29.4
381,3.88,32.5
382,3.88,32.5
383,3.88,32.5
384,3.88,32.5
385,3.12,26.2
386,4.25,35.7
387,3.88,32.5
388,3.88,32.5
389,3.88,32.5
390,3.88,32.5
391,3.62,30.4
392,3.88,32.5
393,3.88,32.5
394,3.88,32.5
395,3.12,26.2
396,4.25,35.7
397,3.88,32.5
398,3.88,32.5
399,3.12,26.2
400,3.88,32.5
401,4.38,36.7
402,3.12,26.2
403,3.88,32.5
404,3.88,32.5
405,3.88,32.5
406,3.12,26.2
407,4.25,35.7
408,3.88,32.5
409,3.88,32.5
410,3.88,32.5
411,4,33.6
412,3.5,29.4
413,3.88,32.5
414,3.88,32.5
415,3.88,32.5
416,3.88,32.5
417,3.12,26.2
418,3.88,32.5
419,3.88,32.5
420,4.25,35.7
421,3.12,26.2
422,3.88,32.5
423,3.88,32.5
424,3.88,32.5
425,3.5,29.4
426,3.88,32.5
427,3.88,32.5
428,3.88,32.5
429,3.88,32.5
430,3.62,30.4
431,3.88,32.5
432,3.88,32.5
433,3.88,32.5
434,3.88,32.5
435,3.88,32.5
436,3.12,26.2
437,3.88,32.5
438,4.25,35.7
439,3.88,32.5
440,3.88,32.5
441,3.12,26.2
442,3.88,32.5
443,4.25,35.7
444,3.12,26.2
445,3.88,32.5
446,3.88,32.5
447,3.88,32.5
448,3.12,26.2
449,4.38,36.7
450,3.88,32.5
451,3.88,32.5
452,3.88,32.5
453,3.88,32.5
454,3.62,30.4
455,3.88,32.5
456,3.88,32.5
457,3.88,32.5
458,3.88,32.5
459,3.12,26.2
460,3.88,32.5
461,3.88,32.5
462,3.88,32.5
463,3.5,29.4
464,3.88,32.5
465,3.88,32.5
466,3.88,32.5
467,3.62,30.4
468,3.88,32.5
469,4,33.6
470,3.88,32.5
471,3.88,32.5
472,3.62,30.4
473,3.88,32.5
474,3.88,32.5
475,3.12,26.2
476,3.88,32.5
477,4.38,36.7
478,3.12,26.2
479,3.88,32.5
480,3.88,32.5
481,3.88,32.5
482,3.88,32.5
483,3.88,32.5
484,3.88,32.5
485,3.62,30.4
