Interval,Transfer,Bandwidth
362,3.88,32.5
363,3.88,32.5
364,3.88,32.5
365,3.88,32.5
366,3.12,26.2
367,3.88,32.5
368,3.88,32.5
369,3.88,32.5
370,3.88,32.5
371,3.38,28.3
372,3.88,32.5
373,3.88,32.5
374,3.88,32.5
375,3.88,32.5
376,3.12,26.2
377,4.38,36.7
378,3.88,32.5
379,3.88,32.5
380,3.88,32.5
381,3.88,32.5
382,3.5,29.4
383,4,33.6
384,3.88,32.5
385,3.88,32.5
386,3.12,26.2
387,4.25,35.7
388,3.88,32.5
389,3.12,26.2
390,3.88,32.5
391,3.88,32.5
392,4.25,35.7
393,3.12,26.2
394,3.88,32.5
395,3.88,32.5
396,3.88,32.5
397,3.12,26.2
398,4.38,36.7
399,3.88,32.5
400,3.88,32.5
401,3.88,32.5
402,3.88,32.5
403,3.5,29.4
404,3.88,32.5
405,3.88,32.5
406,3.88,32.5
407,3.88,32.5
408,3.62,30.4
409,3.88,32.5
410,3.88,32.5
411,3.88,32.5
412,3.12,26.2
413,4.25,35.7
414,3.88,32.5
415,3.88,32.5
416,3.12,26.2
417,3.88,32.5
418,4.38,36.7
419,3,25.2
420,3.88,32.5
421,4,33.6
422,3.88,32.5
423,3.88,32.5
424,3.88,32.5
425,3.88,32.5
426,3.88,32.5
427,3.12,26.2
428,3.88,32.5
429,3.88,32.5
430,3.88,32.5
431,3.5,29.4
432,3.88,32.5
433,3.88,32.5
434,3.88,32.5
435,3.88,32.5
436,3.88,32.5
437,3.88,32.5
438,3.88,32.5
439,3.5,29.4
440,3.88,32.5
441,3.88,32.5
442,3.88,32.5
443,3.88,32.5
444,3.12,26.2
445,3.88,32.5
446,3.88,32.5
447,4.25,35.7
448,3.12,26.2
449,3.88,32.5
450,3.88,32.5
451,3.88,32.5
452,3.88,32.5
453,3.88,32.5
454,3.88,32.5
455,3.5,29.4
456,3.88,32.5
457,3.88,32.5
458,3.88,32.5
459,3.88,32.5
460,3.5,29.4
461,3.88,32.5
462,4,33.6
463,3.88,32.5
464,3,25.2
465,4.38,36.7
466,3.88,32.5
467,3.12,26.2
468,3.88,32.5
469,3.88,32.5
470,3.88,32.5
471,3.5,29.4
472,3.88,32.5
473,3.88,32.5
474,3.88,32.5
475,3.88,32.5
476,3.75,31.5
477,3.88,32.5
478,3.88,32.5
479,3.88,32.5
480,3.88,32.5
481,3.12,26.2
482,3.88,32.5
483,3.88,32.5
484,4.25,35.7
485,3.12,26.2
486,4,33.6
487,3.88,32.5
488,3.88,32.5
489,3.88,32.5
490,3.88,32.5
491,3.5,29.4
492,3.88,32.5
493,3.88,32.5
494,3.88,32.5
495,3.88,32.5
496,3.12,26.2
497,4.38,36.7
498,3.88,32.5
499,3.12,26.2
500,3.88,32.5
501,3.88,32.5
502,3.62,30.4
503,3.88,32.5
504,3.88,32.5
505,4,33.6
506,3.88,32.5
507,3.62,30.4
508,3.88,32.5
509,3.88,32.5
510,3.88,32.5
511,3.88,32.5
512,3.62,30.4
513,3.88,32.5
514,3.12,26.2
515,3.88,32.5
516,3.88,32.5
517,3.88,32.5
518,3.62,30.4
519,3.88,32.5
520,4,33.6
521,3.88,32.5
522,3.88,32.5
523,3.88,32.5
524,3.88,32.5
525,3.12,26.2
526,4.25,35.7
527,3.88,32.5
528,3.12,26.2
529,3.88,32.5
530,3.88,32.5
531,3.88,32.5
532,3.88,32.5
533,3.12,26.2
534,4.38,36.7
535,3.88,32.5
536,3.88,32.5
537,3.88,32.5
538,3.88,32.5
539,3.88,32.5
540,3.12,26.2
541,4.12,34.6
542,3.88,32.5
543,3.88,32.5
544,3.88,32.5
545,3.12,26.2
546,3.88,32.5
547,3.88,32.5
548,3.88,32.5
549,4.12,34.6
550,3.88,32.5
551,3.12,26.2
552,3.88,32.5
553,3.88,32.5
554,3.62,30.4
555,3.88,32.5
556,3.88,32.5
557,3.88,32.5
558,3.88,32.5
559,3.88,32.5
560,3.88,32.5
561,3.12,26.2
562,4.38,36.7
563,3.88,32.5
564,3.88,32.5
565,3.12,26.2
566,3.88,32.5
567,3.88,32.5
568,3.88,32.5
569,3.88,32.5
570,3.5,29.4
571,3.88,32.5
572,3.88,32.5
573,3.88,32.5
574,3.88,32.5
575,4,33.6
576,3,25.2
577,3.88,32.5
578,3.88,32.5
579,4,33.6
580,3.62,30.4
581,3.88,32.5
582,3.88,32.5
583,3.88,32.5
584,3.88,32.5
585,3.12,26.2
586,4.38,36.7
587,3.88,32.5
588,3.88,32.5
589,3.12,26.2
590,3.88,32.5
591,3.62,30.4
592,3.88,32.5
593,4,33.6
594,3.88,32.5
595,3.88,32.5
596,3.62,30.4
597,3.88,32.5
598,3.88,32.5
599,3.88,32.5
600,3.88,32.5
601,3.62,30.4
602,3.88,32.5
603,3.88,32.5
604,3.12,26.2
605,3.88,32.5
606,3.88,32.5
607,3.62,30.4
608,4,33.6
609,3.88,32.5
610,3.88,32.5
611,3.88,32.5
612,3.62,30.4
613,3.88,32.5
614,3.88,32.5
615,3.88,32.5
616,3.88,32.5
617,3.12,26.2
618,3.88,32.5
619,3.88,32.5
620,4.38,36.7
621,3,25.2
622,3.88,32.5
623,4,33.6
624,3.88,32.5
625,3.88,32.5
626,3.88,32.5
627,3.88,32.5
628,3.5,29.4
629,3.88,32.5
630,3.88,32.5
631,3.88,32.5
632,3.12,26.2
633,4.38,36.7
634,3.88,32.5
635,3.12,26.2
636,3.88,32.5
637,3.88,32.5
638,3.88,32.5
639,3.88,32.5
640,3.88,32.5
641,3.88,32.5
642,3.88,32.5
643,3.12,26.2
644,4.5,37.7
645,3.88,32.5
646,3,25.2
647,4,33.6
648,3.88,32.5
