Interval,Transfer,Bandwidth
0,62.8,526
1,59.9,502
2,60.9,511
3,60.1,504
4,60.2,505
5,58.8,493
6,59.4,498
7,59.5,499
8,59.8,501
9,59.8,501
10,59.9,502
11,58.8,493
12,59.2,497
13,59.2,497
14,59.2,497
15,59,495
16,58.6,492
17,59.1,496
18,58.1,488
19,58.5,491
20,58.4,490
21,58.6,492
22,58.1,488
23,58,487
24,58,487
25,57.9,485
26,57.4,481
27,57.6,483
28,57.8,484
29,56.8,476
30,57.8,484
31,57.1,479
32,56.2,472
33,57.2,480
34,56.5,474
35,56.5,474
36,56.6,475
37,56.2,472
38,56.4,473
39,56.2,472
40,56.2,472
41,55.9,469
42,55.5,466
43,55.6,467
44,55.8,468
45,55.5,466
46,54.9,460
47,55.4,465
48,54.6,458
49,54.8,459
50,54.9,460
51,54.6,458
52,54.8,459
53,53.8,451
54,54.2,455
55,54.6,458
56,53.4,448
57,54,453
58,53.1,446
59,54,453
60,53.5,449
61,53.4,448
62,53.1,446
63,52.6,441
64,53,445
65,52.2,438
66,52.8,442
67,52.9,444
68,52,436
69,52.1,437
70,51.5,432
71,52.2,438
72,51.4,431
73,51.4,431
74,51.2,430
75,51.2,430
76,51.8,434
77,50.4,423
78,51,428
79,50.2,422
80,50.6,425
81,50.2,422
82,50.2,422
83,49.8,417
84,50.4,423
85,49.6,416
86,49.2,413
87,49.6,416
88,48.6,408
89,49.4,414
90,48.6,408
91,48.4,406
92,49,411
93,47.9,402
94,48.5,407
95,47.5,398
96,48.1,404
97,47.9,402
98,47.4,397
99,47.1,395
100,46.9,393
101,47.1,395
102,46.6,391
103,46.8,392
104,46.1,387
105,46.1,387
106,46.5,390
107,45.6,383
108,45.5,382
109,45.2,380
110,45,377
111,45.4,381
112,44.5,373
113,44.6,374
114,44.5,373
115,44.5,373
116,43.9,368
117,43.6,366
118,43.6,366
119,43.5,365
120,43,361
121,42.5,357
122,43.1,362
123,42.5,357
124,41.9,351
125,41.8,350
126,42.2,354
127,41.2,346
128,41.5,348
129,40.8,342
130,40.5,340
131,40.4,339
132,40.5,340
133,40.5,340
134,39.8,333
135,39,327
136,39.2,329
137,39,327
138,39.1,328
139,38.4,322
140,37.6,316
141,37.8,317
142,37.6,316
143,37.2,312
144,36.9,309
145,36.5,306
146,36.5,306
147,35.6,299
148,36.2,304
149,34.9,293
150,34.8,292
151,35,294
152,34.2,287
153,33.8,283
154,33.1,278
155,33.2,279
156,32.8,275
157,32,268
158,31.9,267
159,31.4,263
160,30.9,259
161,30.4,255
162,30.4,255
163,29,243
164,29.1,244
165,28.4,238
166,27.6,232
167,27.5,231
168,26.2,220
169,25.9,217
170,25.1,211
171,23.8,199
172,23.6,198
173,22.8,191
174,21.1,177
175,20.4,171
176,18.9,158
177,16.8,141
178,13.2,111
179,3.88,32.5
180,3.88,32.5
181,4,33.6
182,3.88,32.5
183,3.88,32.5
184,3.88,32.5
185,3.12,26.2
186,4.12,34.6
187,3.88,32.5
188,3.88,32.5
189,3.12,26.2
190,3.88,32.5
191,4.5,37.7
192,3.12,26.2
193,3.88,32.5
194,3.88,32.5
195,3.88,32.5
196,3.12,26.2
197,4.25,35.7
198,3.88,32.5
199,3.88,32.5
200,3.88,32.5
201,3.88,32.5
