Interval,Transfer,Bandwidth
0,143,1200
1,109,912
2,53.1,446
3,52.9,444
4,52.2,438
5,52.5,440
6,53.1,446
7,53.4,448
8,54.2,455
9,52.6,441
10,53,445
11,53.8,451
12,53.2,447
13,52.8,442
14,53.1,446
15,53.5,449
16,53.9,452
17,52.9,444
18,53.6,450
19,52.8,442
20,53.6,450
21,53,445
22,53,445
23,53.2,447
24,54.4,456
25,52.4,439
26,53.5,449
27,53.2,447
28,54,453
29,53,445
30,53.2,447
31,53.5,449
32,53,445
33,53.1,446
34,52.8,442
35,53.2,447
36,54,453
37,52.9,444
38,53.4,448
39,53.5,449
40,52.8,442
41,53.5,449
42,54,453
43,52.2,438
44,53.1,446
45,54.2,455
46,53,445
47,53.2,447
48,52.8,442
49,53.2,447
50,54.2,455
51,53.1,446
52,52.8,442
53,53.9,452
54,53.2,447
55,53,445
56,53,445
57,53.1,446
58,53.2,447
59,53.4,448
60,52.8,442
61,53.6,450
62,53,445
63,54.2,455
64,53.5,449
65,52.4,439
66,53,445
67,54.2,455
68,53.4,448
69,53.4,448
70,53.1,446
71,52.2,438
72,53.8,451
73,53.5,449
74,52.9,444
75,54.1,454
76,52.1,437
77,54.2,455
78,53,445
79,53.4,448
80,53,445
81,53.1,446
82,53.9,452
83,52.2,438
84,54,453
85,53.1,446
86,53.6,450
87,53.5,449
88,53.2,447
89,52.2,438
90,53.2,447
91,54.1,454
92,53,445
93,53.1,446
94,53,445
95,53,445
96,53.2,447
97,53.4,448
98,54.4,456
99,53,445
100,53.4,448
101,53.2,447
102,52.8,442
103,53.2,447
104,53.5,449
105,52.9,444
106,53.2,447
107,54.2,455
108,52.8,442
109,53.9,452
110,52.6,441
111,53,445
112,54.1,454
113,52.8,442
114,53.5,449
115,53.2,447
116,53.4,448
117,53.5,449
118,52.2,438
119,54.2,455
120,52.2,438
121,54.2,455
122,53.4,448
123,52.6,441
124,52.9,444
125,53.5,449
126,53.4,448
127,53.4,448
128,54,453
129,52.8,442
130,52.6,441
131,54.1,454
132,52.4,439
133,54.4,456
134,52.9,444
135,53.1,446
136,53.5,449
137,52.5,440
138,53.8,451
139,54,453
140,52,436
141,53.8,451
142,53.2,447
143,53.8,451
144,53.5,449
145,53,445
146,53.4,448
147,52.8,442
148,52.8,442
149,54.4,456
150,53.4,448
151,52.5,440
152,54.1,454
153,53.1,446
154,53.1,446
155,53.1,446
156,53,445
157,53.5,449
158,52.9,444
159,53.4,448
160,53.5,449
161,52.8,442
162,53.2,447
163,54.1,454
164,52.4,439
165,53.8,451
166,53.2,447
167,53.9,452
168,52.9,444
169,52.9,444
170,54.1,454
171,53.1,446
172,52.9,444
173,53.8,451
174,53.2,447
175,53.1,446
176,53.4,448
177,53.4,448
178,53,445
179,52.9,444
180,53.5,449
181,52.8,442
182,54.4,456
183,52.9,444
184,52.8,442
185,53.8,451
186,53.1,446
187,53.2,447
188,53.2,447
189,53.2,447
190,52.9,444
191,53.2,447
192,53.2,447
193,53.4,448
194,53.6,450
195,53.6,450
196,52.5,440
197,53,445
198,53.5,449
199,54.4,456
200,52.9,444
201,52.6,441
202,53.2,447
203,53.1,446
204,53.8,451
205,52.8,442
206,53.2,447
207,53.4,448
208,54.4,456
209,53.2,447
210,52.6,441
211,53.6,450
212,53.2,447
213,53.2,447
214,52.8,442
215,54.1,454
216,53,445
217,53.4,448
218,52.9,444
219,53.6,450
220,52.6,441
221,53.8,451
222,53.2,447
223,53.8,451
224,53,445
225,53,445
226,53.2,447
227,52.9,444
228,54,453
229,53.4,448
230,52.2,438
231,53.8,451
232,53.1,446
233,54.1,454
234,52.4,439
235,53.9,452
236,52.8,442
237,53.1,446
238,53.2,447
239,53.5,449
240,53.6,450
241,53.2,447
242,53.5,449
243,53.6,450
244,52.2,438
245,53.2,447
246,54.1,454
247,52.2,438
248,53.4,448
249,54.2,455
250,52.8,442
251,53.2,447
252,52.8,442
253,53.5,449
254,54.1,454
255,52.9,444
256,53.8,451
257,53.2,447
258,52.4,439
259,53.4,448
260,53,445
261,53.2,447
262,54.2,455
263,53,445
264,53.6,450
265,52.8,442
266,52.8,442
267,54,453
268,52.4,439
269,53.8,451
270,53.2,447
271,54.1,454
272,52.9,444
273,52.8,442
274,53.2,447
275,53.1,446
276,53.5,449
277,53.9,452
278,52.4,439
279,54.2,455
280,53.4,448
281,53.1,446
282,53.4,448
283,53.2,447
284,53.2,447
285,53.4,448
286,53.2,447
287,52.2,438
288,53.4,448
289,53.2,447
290,53.8,451
291,53.6,450
292,53.1,446
293,53.4,448
294,53,445
295,53.4,448
296,52.4,439
297,54,453
298,53.5,449
299,52.9,444
300,53,445
301,54.4,456
302,53.1,446
303,52.4,439
304,54,453
305,52.2,438
306,53.8,451
307,53,445
308,54.2,455
309,53.1,446
310,53.2,447
311,53.2,447
312,53.5,449
313,53,445
314,53,445
315,53.2,447
316,53,445
317,53.4,448
318,54,453
319,53.1,446
320,52.4,439
321,53.6,450
322,53.2,447
323,53.8,451
324,52.6,441
325,53.4,448
326,53.9,452
327,52.8,442
328,53.4,448
329,53.8,451
330,52.6,441
331,53.1,446
332,53.9,452
333,53.4,448
334,53.1,446
335,53.1,446
336,53.5,449
337,53,445
338,53,445
339,53.2,447
340,53.5,449
341,52.9,444
342,54.2,455
343,52.8,442
344,53.4,448
345,52.6,441
346,54.2,455
347,53,445
348,53,445
349,53.8,451
350,52.6,441
351,53.4,448
352,53.5,449
353,53.9,452
354,53,445
355,52.8,442
356,52.9,444
357,54.1,454
358,52.6,441
359,53.4,448
360,53.9,452
361,53.4,448
362,53.1,446
363,53.4,448
364,52.4,439
365,53.6,450
366,54.1,454
367,53.2,447
368,52.4,439
369,53.5,449
370,53.1,446
371,53.5,449
372,52.8,442
373,53.1,446
374,53.9,452
375,53.2,447
376,53.5,449
377,53.2,447
378,52.5,440
379,54.1,454
380,52.8,442
381,53.1,446
382,54.2,455
383,53,445
384,53.4,448
385,53,445
386,53,445
387,52.9,444
388,54.5,457
389,53.1,446
390,53.1,446
391,52.8,442
392,53.2,447
393,54.1,454
394,53.1,446
395,52.9,444
396,53.6,450
397,53.2,447
398,53.2,447
399,53.5,449
400,52.1,437
401,54,453
402,53.4,448
403,53.1,446
404,52.6,441
405,54,453
406,52.9,444
407,53,445
408,53.6,450
409,53.5,449
410,53.6,450
411,52.2,438
412,53.2,447
413,53.9,452
414,53.9,452
415,52.9,444
416,53,445
417,53,445
418,53.8,451
419,53.2,447
420,53.2,447
421,52.9,444
422,52.9,444
423,54.4,456
424,53,445
425,53.6,450
426,53.2,447
427,52.8,442
428,53,445
429,53.8,451
430,52.8,442
431,54,453
432,53.5,449
433,52.4,439
434,54.2,455
435,52.9,444
436,53.2,447
437,53.5,449
438,53.5,449
439,52.9,444
440,52.8,442
441,53.1,446
442,53.5,449
443,53.2,447
444,53,445
445,54,453
446,53.4,448
447,53.4,448
448,53.2,447
449,52.2,438
450,53.9,452
451,53,445
452,54.1,454
453,53.1,446
454,52.6,441
455,53.5,449
456,53.4,448
457,52.6,441
458,53.6,450
459,53.8,451
460,52.5,440
461,53.6,450
462,52.9,444
463,54.2,455
464,52.4,439
465,53.4,448
466,53.2,447
467,54.2,455
468,52.4,439
469,53.2,447
470,53.8,451
471,53.4,448
472,53.6,450
473,52.8,442
474,53.4,448
475,52.8,442
476,54.1,454
477,52.9,444
478,53.5,449
479,53,445
480,53.6,450
481,53.1,446
482,53.4,448
483,53.5,449
484,52.8,442
485,53.6,450
486,53.2,447
487,52.8,442
488,53.1,446
489,53.8,451
490,53.4,448
491,52.5,440
492,54.2,455
493,52.9,444
494,52.8,442
495,54.1,454
496,53.1,446
497,53.5,449
498,52.9,444
499,53.1,446
500,53.1,446
501,53.9,452
502,52.8,442
503,53.8,451
504,52.9,444
505,52.8,442
506,53.8,451
507,53.8,451
508,52.9,444
509,53.8,451
510,53.1,446
511,53.1,446
512,53.4,448
513,52.9,444
514,53.1,446
515,52.9,444
516,53.6,450
517,53.9,452
518,53.1,446
519,53.6,450
520,53.1,446
521,52.9,444
522,53.5,449
523,52.5,440
524,54.1,454
525,52.9,444
526,53.8,451
527,53.1,446
528,51.5,432
529,54.5,457
530,53.2,447
531,53.8,451
532,52.5,440
533,54.4,456
534,52.6,441
535,53.1,446
536,53,445
537,53.4,448
538,53.2,447
539,53.2,447
540,54.5,457
541,53.1,446
542,52.4,439
543,53.9,452
544,53.6,450
545,53.1,446
546,52.2,438
547,54.4,456
548,53.1,446
549,53.1,446
550,52.8,442
551,53.1,446
552,53.9,452
553,53.2,447
554,52.9,444
555,53.6,450
556,53.8,451
557,53,445
558,53.2,447
559,52.6,441
560,53.5,449
561,54,453
562,52.1,437
563,54.5,457
564,53,445
565,52.4,439
566,53.2,447
567,54,453
568,53.8,451
569,52.1,437
570,53.8,451
571,53.2,447
572,53.4,448
573,53.1,446
574,53.6,450
575,52.6,441
576,54.2,455
577,52,436
578,54.2,455
579,53.5,449
580,52.6,441
581,53,445
582,53.9,452
583,53.2,447
584,53,445
585,52.9,444
586,53.8,451
587,52.9,444
588,54.1,454
589,52.4,439
590,53.2,447
591,53.5,449
592,54.1,454
593,52.8,442
