Interval,Transfer,Bandwidth
0,121,1010
1,121,1020
2,122,1020
3,120,1010
4,121,1010
5,121,1010
6,121,1010
7,120,1010
8,120,1010
9,121,1010
10,120,1010
11,120,1000
12,118,989
13,120,1010
14,120,1010
15,119,997
16,119,998
17,119,999
18,119,995
19,119,998
20,119,995
21,119,999
22,118,992
23,119,998
24,118,990
25,118,989
26,118,994
27,118,986
28,118,989
29,118,988
30,117,985
31,118,988
32,118,987
33,117,983
34,117,984
35,117,978
36,117,981
37,117,981
38,116,976
39,117,980
40,116,972
41,116,977
42,116,976
43,116,969
44,116,976
45,116,971
46,115,966
47,116,970
48,115,963
49,115,967
50,115,968
51,115,962
52,114,959
53,114,960
54,114,960
55,115,964
56,113,947
57,113,949
58,114,955
59,113,949
60,113,945
61,112,941
62,113,947
63,113,946
64,114,952
65,113,945
66,112,942
67,113,947
68,113,945
69,112,944
70,112,942
71,112,937
72,111,934
73,112,937
74,112,935
75,110,927
76,111,932
77,111,930
78,111,931
79,111,930
80,110,927
81,110,924
82,110,924
83,110,924
84,110,919
85,110,922
86,109,914
87,109,918
88,109,916
89,108,910
90,109,912
91,108,909
92,108,910
93,108,907
94,108,910
95,108,906
96,107,900
97,107,895
98,107,900
99,107,899
100,107,894
101,106,887
102,107,899
103,106,887
104,106,886
105,106,889
106,106,885
107,105,880
108,105,884
109,106,885
110,104,876
111,104,877
112,104,875
113,105,878
114,104,870
115,104,869
116,103,861
117,104,870
118,103,861
119,103,865
120,102,852
121,103,861
122,102,854
123,101,849
124,102,851
125,101,848
126,102,856
127,100,843
128,101,844
129,100,842
130,99.8,837
131,100,839
132,99.4,834
133,99,830
134,99,830
135,98.8,828
136,98.6,827
137,98,822
138,97.4,817
139,97.9,821
140,97.2,816
141,96.9,813
142,96.9,813
143,96,805
144,96.1,806
145,95.9,804
146,95.6,802
147,94.6,794
148,95,797
149,93.9,787
150,93.9,787
151,93.6,785
152,93.6,785
153,92,772
154,92.1,773
155,92.2,774
156,91.4,767
157,90,755
158,90.2,757
159,90.5,759
160,89.9,754
161,88.9,746
162,88.9,746
163,87.6,735
164,87.4,733
165,87.1,731
166,85.9,720
167,85.6,718
168,85.1,714
169,84,705
170,83.8,703
171,81.6,685
172,82.1,689
173,80.5,675
174,79.5,667
175,78.4,657
176,76.9,645
177,74.9,628
178,72.2,606
179,60.8,510
180,60.4,506
181,61,512
182,60.8,510
183,60.2,505
184,60.6,509
185,60.4,506
186,60.8,510
187,60.8,510
188,60.8,510
189,59.9,502
190,60.9,511
191,60.8,510
192,60.4,506
193,60.9,511
194,60.4,506
195,60.8,510
196,60.1,504
197,60.8,510
198,60.4,506
199,60.9,511
200,60.8,510
201,60.8,510
202,60.1,504
203,61,512
204,60,503
205,61,512
206,60.8,510
207,60,503
208,60.8,510
209,60.5,508
210,60.5,508
211,60.8,510
212,61.1,513
213,60.1,504
214,61,512
215,60.6,509
216,59.9,502
217,61,512
218,60.6,509
219,60.4,506
220,60.4,506
221,60.9,511
222,60.8,510
223,60.4,506
224,60.9,511
225,60.5,508
226,60.8,510
227,60.1,504
228,60.6,509
229,60.9,511
230,60,503
231,60.5,508
232,61.2,514
233,60.2,505
234,60.9,511
235,60.4,506
236,60.6,509
237,60.4,506
238,61.1,513
239,60.5,508
240,60.1,504
241,61,512
242,60.5,508
243,60.1,504
244,60.6,509
245,60.6,509
246,60.9,511
247,60.1,504
248,60.8,510
249,60.9,511
250,60.1,504
251,61.1,513
252,60.2,505
253,60.9,511
254,60.1,504
255,60.8,510
256,60.9,511
257,60.5,508
258,60.1,504
259,61,512
260,60.6,509
261,60.8,510
262,60.6,509
263,60,503
264,61.1,513
265,60.4,506
266,60.4,506
267,61,512
268,60.1,504
269,60.8,510
270,60.8,510
271,60.1,504
272,61,512
273,60.1,504
274,60.9,511
275,61,512
276,60.5,508
277,60.6,509
278,60.1,504
279,60.9,511
280,60,503
281,61.4,515
282,59.9,502
283,60.8,510
284,60.4,506
285,60.8,510
286,60.4,506
287,60.8,510
288,61,512
289,60.2,505
290,61,512
291,60.6,509
292,60.2,505
293,60.9,511
294,60.1,504
295,60.8,510
296,61,512
297,60,503
298,60.8,510
299,60.2,505
300,61,512
301,60.2,505
302,60.8,510
303,60.6,509
304,60.9,511
305,60,503
306,60.9,511
307,60.4,506
308,60.8,510
309,60.4,506
310,60.6,509
311,59.9,502
312,61.5,516
313,60.6,509
314,60.2,505
315,60.8,510
316,60.9,511
317,60.4,506
318,60.9,511
319,60.6,509
320,60.2,505
321,60.5,508
322,60.4,506
323,60.8,510
324,60.9,511
325,60.4,506
326,60.9,511
327,60.6,509
328,60.4,506
329,60.6,509
330,60.8,510
331,60.6,509
332,60,503
333,60.5,508
334,61.1,513
335,60.2,505
336,60.4,506
337,60.9,511
338,60.6,509
339,60.8,510
340,60.2,505
341,60.5,508
342,61.2,514
343,60,503
344,61,512
345,60,503
346,60.8,510
347,60.8,510
348,60.9,511
349,60,503
350,60.8,510
351,60.9,511
352,60.6,509
353,60.4,506
354,60.9,511
355,59.9,502
356,61.1,513
357,60.5,508
358,60.1,504
359,61.1,513
360,60.2,505
361,60.5,508
362,60.9,511
363,60.2,505
364,60.8,510
365,60.6,509
366,60.9,511
367,60.8,510
368,60.1,504
369,60.9,511
370,60.4,506
371,60.1,504
372,60.9,511
373,61,512
374,60.4,506
375,60.8,510
376,60.2,505
377,60.9,511
378,60.8,510
379,60.5,508
380,60,503
381,60.6,509
382,60.8,510
383,60.8,510
384,60.6,509
385,60.4,506
386,60.6,509
387,60.8,510
388,60.1,504
389,60.8,510
390,60.5,508
391,60.5,508
392,60.6,509
393,60.9,511
394,60.9,511
395,60,503
396,61,512
397,60.6,509
398,60.4,506
399,60.8,510
400,60.8,510
401,60.2,505
402,60.2,505
403,61,512
404,60.8,510
405,60,503
406,60.8,510
407,60.6,509
408,60.4,506
409,60.8,510
410,60.9,511
411,60.2,505
412,61.1,513
413,60.4,506
414,60.9,511
415,60.2,505
416,60.8,510
417,60.4,506
418,60,503
419,61,512
420,60.4,506
421,61,512
422,60.2,505
423,61.2,514
424,60,503
425,61,512
426,60,503
427,60.8,510
428,61,512
429,60.1,504
430,60.9,511
431,60.2,505
432,61.1,513
433,60.8,510
434,59.9,502
435,60.9,511
436,60.6,509
437,60.9,511
438,60,503
439,60.8,510
440,60.6,509
441,60.8,510
442,60.2,505
443,61,512
444,60.2,505
445,60.8,510
446,60.8,510
447,60.2,505
448,60.5,508
449,60.9,511
450,60.2,505
451,60.6,509
452,60.9,511
453,60.2,505
454,60.6,509
455,60.6,509
456,60.6,509
457,60.6,509
458,61,512
459,60.1,504
460,60.9,511
461,60.4,506
462,60.9,511
463,60.6,509
464,60.8,510
465,60.4,506
466,60.6,509
467,60.1,504
468,60.8,510
469,60.9,511
470,60.1,504
471,60.9,511
472,60.4,506
473,60.6,509
474,60.6,509
475,60.5,508
476,60.4,506
477,60.9,511
478,60.6,509
479,60.4,506
480,60.6,509
481,60.4,506
482,61.1,513
483,60,503
484,60.8,510
485,60.5,508
486,60.9,511
487,60.9,511
488,60.4,506
489,60.8,510
490,60.5,508
491,60.6,509
492,60.4,506
493,60.6,509
494,60.8,510
495,60.1,504
496,60.8,510
497,60.8,510
498,60.9,511
499,59.9,502
500,60.8,510
501,61.1,513
502,59.9,502
503,60.8,510
504,60.5,508
505,60.9,511
506,60.9,511
507,60.4,506
508,60.1,504
509,61,512
510,60.2,505
511,61.1,513
512,60.4,506
513,60.9,511
514,60.4,506
515,60.2,505
516,60.6,509
517,60.6,509
518,61,512
519,60.4,506
520,60.1,504
521,61,512
522,60.8,510
523,60.5,508
524,60.8,510
525,60.6,509
526,60,503
527,60.9,511
528,60.8,510
529,60.1,504
530,60.6,509
531,60.9,511
532,60.1,504
533,60.8,510
534,61,512
535,60.1,504
536,60.6,509
537,60.6,509
538,60.5,508
539,61,512
540,60.1,504
541,60.8,510
542,60.8,510
543,60.6,509
544,60.2,505
545,61,512
546,60,503
547,61,512
548,60.8,510
549,60.6,509
550,60,503
551,61.2,514
552,60.6,509
553,60.1,504
554,60.6,509
555,60.8,510
556,60.2,505
557,60.8,510
558,60.6,509
559,60.8,510
560,60.8,510
561,60.5,508
562,60.8,510
563,60,503
564,60.8,510
565,60.1,504
566,61.2,514
567,60.2,505
568,61,512
569,60,503
570,60.5,508
571,61.2,514
572,60.2,505
573,60.9,511
574,60.5,508
575,60.4,506
576,60.4,506
577,60.8,510
578,61,512
579,59.9,502
580,60.8,510
581,60.8,510
582,60.9,511
583,60.6,509
584,60,503
585,61.1,513
586,60.2,505
587,61,512
588,60,503
589,60.6,509
590,61,512
591,60,503
592,60.5,508
593,60.6,509
594,61.2,514
595,60.5,508
596,60.2,505
597,61,512
598,60.2,505
599,60.5,508
600,61,512
601,60.1,504
602,60.8,510
603,60.8,510
604,60.8,510
605,60.1,504
606,60.8,510
607,60.2,505
608,60.9,511
