Interval,Transfer,Bandwidth
0,122,1030
1,121,1020
2,121,1020
3,121,1010
4,121,1010
5,121,1010
6,121,1010
7,120,1010
8,120,1010
9,120,1010
10,120,1000
11,120,1010
12,120,1000
13,120,1010
14,120,1000
15,119,1000
16,120,1000
17,119,1000
18,119,1000
19,119,997
20,119,996
21,119,1000
22,118,994
23,119,996
24,118,991
25,118,993
26,118,992
27,118,988
28,118,992
29,118,991
30,118,986
31,117,983
32,118,989
33,117,980
34,117,984
35,117,981
36,116,971
37,117,978
38,117,979
39,117,979
40,116,973
41,117,978
42,116,974
43,116,975
44,116,969
45,116,971
46,116,969
47,114,960
48,115,967
49,115,964
50,114,952
51,114,956
52,115,962
53,114,958
54,115,965
55,114,954
56,114,957
57,114,956
58,114,956
59,114,954
60,114,952
61,113,950
62,113,949
63,113,947
64,113,950
65,113,946
66,113,946
67,112,940
68,111,934
69,113,947
70,112,942
71,112,935
72,112,938
73,111,934
74,112,935
75,112,935
76,111,929
77,111,931
78,111,931
79,110,926
80,110,925
81,110,923
82,110,923
83,110,923
84,110,923
85,110,919
86,109,918
87,109,912
88,110,920
89,108,908
90,109,915
91,108,910
92,108,908
93,108,908
94,108,904
95,107,899
96,108,906
97,108,902
98,108,904
99,106,892
100,106,891
101,106,892
102,106,892
103,107,897
104,106,888
105,106,886
106,106,889
107,106,885
108,105,882
109,105,881
110,104,876
111,104,876
112,104,875
113,104,876
114,104,870
115,104,868
116,104,868
117,104,868
118,103,861
119,103,863
120,102,857
121,102,860
122,102,855
123,102,857
124,101,850
125,102,854
126,101,844
127,101,846
128,101,847
129,99.8,837
130,100,839
131,99.8,837
132,99.5,835
133,99.2,833
134,99.1,832
135,98.5,826
136,98.2,824
137,98.5,826
138,97.9,821
139,97.4,817
140,97.1,815
141,97.5,818
142,96.6,811
143,95.8,803
144,96,805
145,95.9,804
146,95.1,798
147,95.2,799
148,94.6,794
149,93.9,787
150,93.8,786
151,93.5,784
152,92.9,779
153,92.9,779
154,92.2,774
155,91.8,770
156,91.5,768
157,91,763
158,90.2,757
159,90.2,757
160,89.4,750
161,89.2,749
162,88.5,742
163,88,738
164,86.8,728
165,87.2,732
166,86.1,722
167,85.2,715
168,85,713
169,83.6,701
170,83.5,700
171,81.8,686
172,81.2,682
173,81,679
174,79.5,667
175,77.5,650
176,76.2,640
177,75.2,631
178,70.1,588
179,60.6,509
180,60.2,505
181,60.6,509
182,60.6,509
183,60.4,506
184,60.8,510
185,60.4,506
186,61.1,513
187,60.5,508
188,60.1,504
189,60.9,511
190,60.2,505
191,60.6,509
192,60.6,509
193,60.8,510
194,60.6,509
195,60.6,509
196,60.2,505
197,60.9,511
198,60.8,510
199,60.5,508
200,60.6,509
201,60.6,509
202,60.1,504
203,61,512
204,60.2,505
205,60.5,508
206,61.1,513
207,60.1,504
208,60.6,509
209,60.6,509
210,60.6,509
211,60.4,506
212,61,512
213,60.8,510
214,60,503
215,61.1,513
216,60.1,504
217,61.1,513
218,60.1,504
219,60.5,508
220,61,512
221,60.2,505
222,60.6,509
223,60.8,510
224,60.6,509
225,60.2,505
226,61,512
227,60.5,508
228,60.2,505
229,60.9,511
230,60.6,509
231,60.5,508
