Interval,Transfer,Bandwidth
265, 89.8, 753.0
266, 87.6, 735.0
267, 89.1, 748.0
268, 88.6, 743.0
269, 88.5, 742.0
270, 88.6, 743.0
271, 89.2, 749.0
272, 88.8, 744.0
273, 88.5, 742.0
274, 89.5, 751.0
275, 88.1, 739.0
276, 89.2, 749.0
277, 88.2, 740.0
278, 89.4, 750.0
279, 88.4, 741.0
280, 88.0, 738.0
281, 89.4, 750.0
282, 88.1, 739.0
283, 89.2, 749.0
284, 88.2, 740.0
285, 89.5, 751.0
286, 88.0, 738.0
287, 89.4, 750.0
288, 88.1, 739.0
289, 89.4, 750.0
290, 88.2, 740.0
291, 89.4, 750.0
292, 88.1, 739.0
293, 89.5, 751.0
294, 88.2, 740.0
295, 88.0, 738.0
296, 89.6, 752.0
297, 87.9, 737.0
298, 89.5, 751.0
299, 88.0, 738.0
300, 89.4, 750.0
301, 88.4, 741.0
302, 89.5, 751.0
303, 88.0, 738.0
304, 89.2, 749.0
305, 88.1, 739.0
306, 89.2, 749.0
307, 88.4, 741.0
308, 88.2, 740.0
309, 89.4, 750.0
310, 88.9, 746.0
311, 89.0, 747.0
312, 87.8, 736.0
313, 89.2, 749.0
314, 89.4, 750.0
315, 88.5, 742.0
316, 88.9, 746.0
317, 88.6, 743.0
318, 88.0, 738.0
319, 88.8, 744.0
320, 89.5, 751.0
321, 87.9, 737.0
322, 89.0, 747.0
323, 89.2, 749.0
324, 88.2, 740.0
325, 88.9, 746.0
326, 88.9, 746.0
327, 88.0, 738.0
328, 89.0, 747.0
329, 89.2, 749.0
330, 89.0, 747.0
331, 88.0, 738.0
332, 88.9, 746.0
333, 87.5, 734.0
334, 89.9, 754.0
335, 89.2, 749.0
336, 88.0, 738.0
337, 89.2, 749.0
338, 88.9, 746.0
339, 88.9, 746.0
340, 88.0, 738.0
341, 89.2, 749.0
342, 89.0, 747.0
343, 88.2, 740.0
344, 88.6, 743.0
345, 88.4, 741.0
346, 89.1, 748.0
347, 88.8, 744.0
348, 89.2, 749.0
349, 87.8, 736.0
350, 89.8, 753.0
351, 88.5, 742.0
352, 89.0, 747.0
353, 87.9, 737.0
354, 88.5, 742.0
355, 89.1, 748.0
356, 89.2, 749.0
357, 87.9, 737.0
358, 88.9, 746.0
359, 89.1, 748.0
360, 89.4, 750.0
361, 88.8, 744.0
362, 88.5, 742.0
363, 89.0, 747.0
364, 88.6, 743.0
365, 87.8, 736.0
366, 89.6, 752.0
367, 88.0, 738.0
368, 89.5, 751.0
369, 88.8, 744.0
370, 88.1, 739.0
371, 89.4, 750.0
372, 88.4, 741.0
373, 88.4, 741.0
374, 88.8, 744.0
375, 88.8, 744.0
376, 88.9, 746.0
377, 89.0, 747.0
378, 88.0, 738.0
379, 89.8, 753.0
380, 88.6, 743.0
381, 87.9, 737.0
382, 88.9, 746.0
383, 88.4, 741.0
384, 89.4, 750.0
385, 89.1, 748.0
386, 88.6, 743.0
387, 88.4, 741.0
388, 88.9, 746.0
389, 88.5, 742.0
390, 89.1, 748.0
391, 88.4, 741.0
392, 88.5, 742.0
393, 89.1, 748.0
394, 89.0, 747.0
395, 87.9, 737.0
396, 89.1, 748.0
397, 88.2, 740.0
398, 89.1, 748.0
399, 89.1, 748.0
400, 88.6, 743.0
401, 88.8, 744.0
402, 88.8, 744.0
403, 88.9, 746.0
404, 88.0, 738.0
405, 88.6, 743.0
406, 89.5, 751.0
407, 88.0, 738.0
408, 89.6, 752.0
409, 88.9, 746.0
410, 88.1, 739.0
411, 89.2, 749.0
412, 88.9, 746.0
413, 88.1, 739.0
414, 89.5, 751.0
415, 87.4, 733.0
416, 89.5, 751.0
417, 88.4, 741.0
418, 89.4, 750.0
419, 88.6, 743.0
420, 88.2, 740.0
421, 88.9, 746.0
422, 88.2, 740.0
423, 89.4, 750.0
424, 88.0, 738.0
425, 89.5, 751.0
426, 88.1, 739.0
427, 89.5, 751.0
428, 88.2, 740.0
429, 88.9, 746.0
430, 89.5, 751.0
431, 88.4, 741.0
432, 88.0, 738.0
433, 89.2, 749.0
434, 87.1, 731.0
435, 90.0, 755.0
436, 88.9, 746.0
437, 89.4, 750.0
438, 87.6, 735.0
439, 89.9, 754.0
440, 88.2, 740.0
441, 88.5, 742.0
442, 89.2, 749.0
443, 88.4, 741.0
444, 88.1, 739.0
445, 89.8, 753.0
446, 88.9, 746.0
447, 88.0, 738.0
448, 88.4, 741.0
449, 89.6, 752.0
450, 88.8, 744.0
451, 88.5, 742.0
452, 88.8, 744.0
453, 88.9, 746.0
454, 87.8, 736.0
455, 89.5, 751.0
456, 88.1, 739.0
457, 89.8, 753.0
