Interval,Transfer,Bandwidth
0,124,1040
1,121,1020
2,121,1020
3,120,1010
4,121,1010
5,122,1020
6,120,1010
7,120,1010
8,121,1020
9,120,1010
10,121,1010
11,121,1010
12,120,1010
13,120,1000
14,121,1010
15,120,1000
16,121,1010
17,120,1000
18,120,1010
19,120,1010
20,120,1010
21,119,1000
22,120,1010
23,119,999
24,120,1000
25,119,1000
26,120,1010
27,118,993
28,119,999
29,120,1010
30,119,1000
31,118,989
32,119,1000
33,120,1000
34,120,1000
35,118,992
36,119,995
37,119,997
38,118,993
39,119,999
40,118,993
41,119,996
42,118,992
43,118,994
44,118,992
45,118,988
46,118,986
47,118,992
48,118,991
49,118,993
50,117,981
51,118,994
52,117,978
53,118,990
54,117,985
55,117,983
56,117,985
57,118,987
58,117,984
59,117,984
60,117,985
61,116,976
62,117,983
63,117,983
64,116,975
65,116,976
66,117,978
67,117,983
68,115,967
69,117,980
70,116,976
71,116,974
72,116,975
73,116,974
74,115,967
75,116,970
76,116,977
77,115,967
78,115,968
79,115,966
80,115,965
81,114,960
82,115,966
83,114,957
84,116,971
85,114,957
86,116,970
87,114,957
88,115,967
89,114,960
90,114,955
91,113,950
92,114,959
93,114,957
94,114,953
95,114,958
96,114,954
97,114,956
98,114,956
99,113,950
100,114,954
101,112,943
102,114,952
103,113,949
104,113,949
105,113,947
106,112,942
107,114,952
108,112,943
109,113,945
110,112,943
111,112,943
112,112,936
113,113,946
114,112,936
115,112,938
116,111,931
117,112,941
118,111,930
119,111,934
120,111,934
121,111,934
122,111,929
123,111,930
124,110,924
125,111,928
126,111,932
127,110,925
128,109,915
129,110,923
130,111,928
131,110,921
132,109,914
133,110,924
134,108,908
135,110,924
136,108,907
137,109,912
138,108,910
139,109,915
140,108,907
141,109,911
142,107,900
143,108,909
144,107,895
145,108,905
146,107,898
147,108,902
148,107,897
149,106,888
150,107,901
151,106,891
152,106,890
153,106,889
154,105,883
155,105,883
156,105,882
157,105,879
158,106,885
159,104,873
160,105,879
161,103,864
162,104,872
163,103,866
164,103,867
165,103,862
166,102,857
167,102,856
168,102,860
169,101,849
170,101,848
171,99.2,833
172,100,842
173,99.6,836
174,97.8,820
175,98.9,829
176,97.4,817
177,96.5,810
178,92.4,775
179,91.2,765
180,88.6,743
181,89.1,748
182,88.9,746
183,88.9,746
184,87.8,736
185,88,738
186,89.9,754
187,88.8,744
188,88.2,740
189,89.4,750
190,88.4,741
191,88.6,743
192,88.8,744
193,89.1,748
194,88,738
195,89.8,753
196,87.8,736
197,89.6,752
198,88.8,744
199,88.5,742
200,88,738
201,89.5,751
202,88.4,741
203,88.4,741
204,88.9,746
205,88.5,742
206,88.8,744
207,89.1,748
208,88.4,741
209,88.6,743
210,88.8,744
211,88.6,743
212,89.8,753
213,88.2,740
214,88.6,743
215,88.2,740
216,89,747
217,88.6,743
218,88.6,743
219,89.6,752
220,88.2,740
221,88.4,741
222,89.4,750
223,88.6,743
224,88.6,743
225,88.6,743
226,87.8,736
227,90,755
228,88,738
229,89.2,749
230,88.1,739
231,89.2,749
232,88,738
233,89.5,751
234,88,738
235,89,747
236,88.8,744
237,89,747
238,88.6,743
239,89,747
240,88.2,740
241,88.6,743
242,89.2,749
243,88,738
244,89,747
245,88.2,740
246,89.4,750
247,88.2,740
248,89.2,749
249,88.8,744
250,88.1,739
251,88.6,743
252,89.2,749
253,88.4,741
254,89.2,749
255,88.4,741
256,88.5,742
257,89.1,748
258,88,738
259,89.4,750
260,89.1,748
261,88.5,742
262,87.9,737
263,89.8,753
264,87.8,736
265,89.2,749
266,88.6,743
267,88.6,743
268,89.1,748
269,88.8,744
270,88.9,746
271,88.2,740
272,88.6,743
273,89.2,749
274,87.8,736
275,88.9,746
276,88.9,746
277,89.1,748
278,88.5,742
279,88.6,743
280,89.1,748
281,87.9,737
282,89,747
283,88.4,741
284,89.1,748
285,89.4,750
286,88.5,742
287,88.6,743
288,88.5,742
289,88.2,740
290,89,747
291,88.5,742
292,89.5,751
293,88.4,741
294,89,747
295,88,738
296,88.6,743
297,89.1,748
298,89,747
299,88.5,742
300,88.9,746
301,88.1,739
302,89,747
303,89,747
304,88.1,739
305,88.9,746
306,89.4,750
307,88.1,739
308,88.6,743
309,89,747
310,89,747
311,88.9,746
312,88.5,742
313,88,738
314,89.4,750
315,88.2,740
316,89.5,751
317,87.9,737
318,88.5,742
319,89.2,749
320,89.1,748
321,88,738
322,88.9,746
323,88.9,746
324,88.5,742
325,89,747
326,88.4,741
327,88.6,743
328,89,747
329,89,747
330,88.4,741
331,88.5,742
332,88.9,746
333,88.6,743
334,88.5,742
335,89.1,748
336,89,747
337,88,738
338,88.8,744
339,89.4,750
340,88,738
341,88.8,744
342,89.1,748
343,88.6,743
344,88.9,746
345,89.1,748
346,88.6,743
347,88,738
348,89.1,748
349,88.9,746
350,88.6,743
351,89,747
352,88,738
353,88.6,743
354,89,747
355,89.1,748
356,88.1,739
357,89.4,750
358,88,738
359,89.5,751
360,88.2,740
361,88.4,741
362,89.6,752
363,88,738
364,88.6,743
365,89.4,750
366,87.9,737
367,89.6,752
368,88.1,739
369,89.2,749
370,88,738
371,88.5,742
372,89.4,750
373,88.5,742
374,88.6,743
375,88.6,743
376,88.9,746
377,89,747
378,88.6,743
379,88.6,743
380,89.1,748
381,88,738
382,89.5,751
383,88.6,743
384,87.9,737
385,88.6,743
386,89.6,752
387,88.1,739
388,88.6,743
389,89.4,750
390,87.9,737
391,89.1,748
392,88.5,742
393,88.5,742
394,89.1,748
395,89.1,748
396,88,738
397,89.1,748
398,89.1,748
399,88.2,740
400,89,747
401,88.9,746
402,88.8,744
403,88.6,743
404,88,738
405,89,747
406,88.5,742
407,89,747
408,88.4,741
409,88.8,744
410,88.5,742
411,89.8,753
412,88.6,743
413,88.2,740
414,88.8,744
415,89.1,748
416,88.2,740
417,88.6,743
418,89,747
419,88.9,746
420,87.9,737
421,89.2,749
422,88.2,740
423,88.6,743
424,89,747
425,88.9,746
426,89.1,748
427,88.8,744
428,88.4,741
429,88.4,741
430,88.6,743
431,88.8,744
432,88.9,746
433,89.1,748
434,88,738
435,89.5,751
436,88.6,743
437,87.5,734
438,89.8,753
439,89,747
440,88.2,740
441,88.9,746
442,88.8,744
443,88.9,746
444,88.1,739
445,88.5,742
446,89,747
447,88.9,746
448,88.2,740
449,89.9,754
450,88.4,741
451,88.5,742
452,89.1,748
453,88.5,742
454,88.8,744
455,88.6,743
456,88,738
457,89.2,749
458,89.2,749
459,87.9,737
460,89.2,749
461,88.2,740
462,89.1,748
463,88.9,746
464,88.2,740
465,89.4,750
466,87.8,736
467,89.4,750
468,88,738
469,88.9,746
470,88.6,743
471,89,747
472,89,747
473,88.5,742
474,88.6,743
475,88.8,744
476,88.8,744
477,89.1,748
478,88.6,743
479,88.2,740
480,89,747
481,88.8,744
482,89,747
483,87.9,737
484,88.6,743
485,89.5,751
486,88.5,742
487,88.4,741
488,89.1,748
489,88.2,740
490,88.5,742
491,89.2,749
492,89.2,749
493,88.6,743
494,88.5,742
495,89,747
496,88.2,740
497,88.8,744
498,88.5,742
499,88.5,742
500,89.6,752
501,87.9,737
502,89.2,749
503,88.4,741
504,89.1,748
505,88.5,742
506,88.6,743
507,89,747
508,88.2,740
509,89,747
510,89,747
511,87.9,737
512,89.5,751
513,88.6,743
514,88.5,742
515,88.8,744
516,88.5,742
517,88.9,746
518,89.1,748
519,88.5,742
520,88.4,741
521,88.6,743
522,88.8,744
523,89.1,748
524,88.8,744
525,88,738
526,89.6,752
527,88.8,744
528,88.6,743
529,88.2,740
530,89.2,749
531,87.9,737
532,88.6,743
533,89.6,752
534,87.9,737
535,89.1,748
536,88.6,743
537,88.4,741
538,89.1,748
539,89.2,749
540,88.4,741
541,88.2,740
542,89.4,750
543,88.6,743
544,88,738
545,89.1,748
546,89,747
547,88.6,743
548,88.8,744
549,88.1,739
550,89.5,751
551,87.9,737
552,88.6,743
553,88.8,744
554,89.2,749
555,88.4,741
556,88.5,742
557,88.8,744
558,88.9,746
559,89.4,750
560,88.1,739
561,88.6,743
562,89.1,748
563,88.5,742
564,88.5,742
565,89.4,750
566,88,738
567,89.5,751
568,88.8,744
569,88.4,741
570,88.4,741
571,89.4,750
572,88.2,740
573,88.2,740
574,89.6,752
575,88.2,740
576,88.8,744
577,88.1,739
578,89.5,751
579,88.5,742
580,88.9,746
581,88.5,742
582,88.8,744
583,88.9,746
584,88.1,739
585,88.6,743
586,89.1,748
587,89.1,748
588,88.1,739
589,89.1,748
590,89.1,748
591,88.4,741
592,88.2,740
593,89.4,750
594,88.5,742
595,88.9,746
596,88.8,744
597,88.2,740
598,88.5,742
599,89.2,749
600,88.9,746
601,88.5,742
602,88.4,741
603,88.8,744
604,88.5,742
605,89.5,751
606,88,738
607,88.4,741
608,89.2,749
609,89.2,749
610,88,738
611,88.6,743
612,88.8,744
613,89.5,751
614,88.2,740
615,88.1,739
616,89.2,749
617,89,747
618,89,747
619,87.9,737
620,88.8,744
621,89.4,750
622,88.2,740
623,88.2,740
624,89.8,753
625,87.8,736
626,89.6,752
627,88.5,742
628,88.2,740
629,88.8,744
630,88.8,744
631,88.6,743
632,88.5,742
633,88.9,746
634,89.5,751
635,87.9,737
636,89.2,749
637,88.1,739
638,89.1,748
639,88.2,740
640,89.6,752
641,88.5,742
642,88.8,744
643,88.6,743
644,88,738
645,88.9,746
646,88.9,746
647,89.4,750
648,88.8,744
649,88.5,742
650,88.1,739
651,89,747
652,88.9,746
653,89.1,748
654,87.5,734
655,89.8,753
656,88.9,746
657,87.9,737
658,88.8,744
659,88.5,742
660,89.6,752
661,87.9,737
662,89.4,750
663,88.5,742
664,88.2,740
665,89,747
666,89.1,748
667,88.1,739
668,89.2,749
669,88.8,744
670,88.6,743
671,88.6,743
672,89.1,748
673,88.4,741
674,88,738
675,88.9,746
676,88.1,739
677,89.4,750
678,89,747
679,89,747
680,88.6,743
681,88.1,739
682,88.8,744
683,88.9,746
684,89.4,750
685,88.2,740
686,88.8,744
687,89.2,749
688,87.6,735
689,89,747
690,89.1,748
691,89,747
692,88.5,742
693,88.1,739
694,89.5,751
695,88,738
696,89.1,748
697,88.8,744
698,88.8,744
699,89,747
700,88.5,742
701,88.2,740
702,88.9,746
703,88.2,740
704,89.4,750
705,89.1,748
706,87.8,736
707,89.6,752
708,88.6,743
709,88,738
710,88.5,742
711,89,747
712,89.2,749
713,88.9,746
714,88.4,741
715,88.2,740
716,88.9,746
717,87.9,737
718,90.1,756
719,88,738
720,88.8,744
721,89.4,750
722,88.5,742
723,88.6,743
724,89,747
725,88,738
726,88.8,744
727,89,747
728,88.4,741
729,89.4,750
730,88,738
731,89.5,751
732,88,738
733,89.2,749
734,88.9,746
735,88.6,743
736,88.1,739
737,89.1,748
738,88.1,739
739,89,747
740,88.6,743
741,88.6,743
742,89.6,752
743,87.6,735
744,89.1,748
745,88.8,744
746,88.5,742
747,89,747
748,88.2,740
749,89.1,748
750,89,747
751,88.5,742
752,88.5,742
753,89.1,748
754,88.9,746
755,88,738
756,88.8,744
757,89.1,748
758,88.4,741
759,89,747
760,89,747
761,88.4,741
762,88.5,742
763,89,747
764,89.1,748
765,87.8,736
766,89.4,750
767,88.4,741
768,88.6,743
769,88.6,743
770,89.4,750
771,87.5,734
772,89.4,750
773,88.6,743
774,89.6,752
775,88.6,743
776,88.1,739
777,88.5,742
778,88.6,743
779,89.4,750
780,88.2,740
781,89.2,749
782,88.4,741
783,89.2,749
784,88,738
785,89.4,750
786,88.5,742
787,88,738
788,89.2,749
789,88.5,742
790,89.1,748
791,88.5,742
792,89.1,748
793,88.2,740
794,88.6,743
795,89.1,748
796,88,738
797,88.8,744
798,89,747
799,89.2,749
800,88.5,742
801,88.4,741
802,88.2,740
803,89.6,752
804,88.4,741
805,88.9,746
806,89.1,748
807,88.2,740
808,88.2,740
809,89,747
810,88.9,746
811,88.9,746
812,88.9,746
813,88,738
814,89.2,749
815,88.5,742
816,88.1,739
817,89,747
818,89.1,748
819,89.1,748
820,88.2,740
821,89.1,748
822,88,738
823,89.1,748
824,88.9,746
825,88.5,742
826,88.8,744
827,89,747
828,87.8,736
829,88.9,746
830,89.1,748
831,89.1,748
832,88.5,742
833,89,747
834,88.6,743
835,88.5,742
836,88.9,746
837,88.8,744
838,88.5,742
839,87.9,737
840,89.1,748
841,88.8,744
842,89,747
843,88.1,739
844,89,747
845,88.5,742
846,88.8,744
847,89.1,748
848,88.6,743
849,88.4,741
850,88.8,744
851,88.6,743
852,88.6,743
853,89.2,749
854,89.1,748
855,88,738
856,88.6,743
857,89.4,750
858,88.1,739
859,88.9,746
860,89.2,749
861,87.9,737
862,89,747
863,88.6,743
864,89.2,749
865,88,738
866,88.8,744
867,88.8,744
868,89.4,750
869,88.6,743
870,88,738
871,88.9,746
872,88.9,746
873,88.6,743
874,88.9,746
875,89,747
876,88.8,744
877,88,738
878,88.8,744
879,89.4,750
880,88,738
881,89.6,752
882,88.1,739
883,89,747
884,88.5,742
885,89.2,749
886,88.4,741
887,88.2,740
888,89.4,750
889,88.8,744
890,88.5,742
891,88.2,740
892,89.1,748
893,88.5,742
894,88.6,743
895,89,747
896,89.1,748
897,87.9,737
898,89.4,750
899,88.8,744
900,88.5,742
901,88.9,746
902,88.2,740
903,89,747
904,89.1,748
905,88,738
906,89.4,750
907,88.2,740
908,88.8,744
909,89.2,749
910,88.2,740
911,88.6,743
912,89,747
913,88.4,741
914,89.2,749
915,88.2,740
916,88.6,743
917,88.5,742
918,89.4,750
919,87.9,737
920,88.9,746
921,89.2,749
922,88.6,743
923,88.9,746
924,88.9,746
925,88,738
926,88.5,742
927,89.6,752
928,87.8,736
929,89.6,752
930,88.9,746
931,88,738
932,89.4,750
933,88,738
934,89.2,749
935,88.2,740
936,89.1,748
937,89,747
938,87.6,735
939,89.4,750
940,88.8,744
941,88.8,744
942,88.5,742
943,88.5,742
944,89,747
945,88.8,744
946,89,747
947,87.9,737
948,89.4,750
949,89,747
950,88.1,739
951,88.9,746
952,88.9,746
953,88.5,742
954,88.4,741
955,88.6,743
956,89.6,752
957,88.5,742
958,88.2,740
959,88.4,741
960,89.1,748
961,88.9,746
962,88.4,741
963,88.6,743
964,89.5,751
965,88.4,741
966,89,747
967,88,738
968,88.6,743
969,88.8,744
970,89.5,751
971,87.8,736
972,89.2,749
973,88.9,746
974,88.2,740
975,88.6,743
976,89.2,749
977,88.8,744
978,88.4,741
979,89.4,750
980,88,738
981,89.1,748
982,88.1,739
983,89.2,749
984,88.9,746
985,88,738
986,89.1,748
987,88.5,742
988,89,747
989,88.6,743
990,88.5,742
991,89.4,750
992,87.9,737
993,88.9,746
994,88.9,746
995,88.8,744
996,89.1,748
997,88.5,742
998,88.9,746
999,88.5,742
1000,89.1,748
1001,87.6,735
1002,89,747
1003,89.5,751
1004,88,738
1005,88.5,742
1006,89.4,750
1007,88.1,739
1008,89.1,748
1009,87.9,737
1010,90,755
1011,87.9,737
1012,88.9,746
1013,88.6,743
1014,89.1,748
1015,88.2,740
1016,89.6,752
1017,87.8,736
1018,89.1,748
1019,89.1,748
1020,88.1,739
1021,88.6,743
1022,88.5,742
1023,89.2,749
1024,88.1,739
1025,89.1,748
1026,88.5,742
1027,88.5,742
1028,89.6,752
1029,88,738
1030,89,747
1031,89,747
1032,89,747
1033,88.2,740
1034,88.9,746
1035,89,747
1036,88.6,743
1037,88.9,746
1038,88.5,742
1039,88.6,743
1040,88.2,740
1041,89.4,750
1042,87.9,737
1043,88.8,744
1044,88.6,743
1045,89.2,749
1046,88.9,746
1047,88.6,743
1048,89,747
1049,88.5,742
1050,88.1,739
1051,89.6,752
1052,88.8,744
1053,88.5,742
1054,88.6,743
1055,88.8,744
1056,88,738
1057,89,747
1058,88.5,742
1059,88.8,744
1060,88.5,742
1061,89.2,749
1062,88.1,739
1063,89.6,752
1064,88.4,741
1065,89,747
1066,89,747
1067,88.5,742
1068,88.1,739
1069,89.1,748
1070,88.1,739
1071,89,747
1072,88.5,742
1073,89.1,748
1074,89,747
1075,88,738
1076,88.9,746
1077,88.4,741
1078,89.6,752
1079,87.9,737
1080,88.5,742
1081,89.4,750
1082,89.2,749
1083,88.2,740
1084,88.2,740
1085,89.6,752
1086,88.5,742
1087,88.4,741
1088,88.5,742
1089,89.2,749
1090,88.2,740
1091,89,747
1092,89.1,748
1093,88.4,741
1094,88.1,739
1095,88.6,743
1096,89.6,752
1097,88.9,746
1098,88.1,739
1099,88.2,740
1100,89,747
1101,89.1,748
1102,88,738
1103,89.8,753
1104,88.5,742
1105,88.8,744
1106,88,738
1107,89.1,748
1108,88.5,742
1109,88.4,741
1110,89.1,748
1111,88.9,746
1112,89.1,748
1113,88.6,743
1114,88.4,741
1115,88.8,744
1116,88.5,742
1117,88.5,742
1118,88.6,743
1119,89,747
1120,88.4,741
1121,89.8,753
1122,88.6,743
1123,87.4,733
1124,89.1,748
1125,89.5,751
1126,88.4,741
1127,89.2,749
1128,88,738
1129,88.6,743
1130,89.5,751
1131,88.5,742
1132,87.9,737
1133,89,747
1134,89,747
1135,89,747
1136,88,738
1137,88.8,744
1138,89,747
1139,88.6,743
1140,88.4,741
1141,89.8,753
1142,88.5,742
1143,88.2,740
1144,88.8,744
1145,88.6,743
1146,89.5,751
1147,88.5,742
1148,88.2,740
1149,88.6,743
1150,88.5,742
1151,89.4,750
1152,88,738
1153,89.6,752
1154,88.6,743
1155,88.8,744
1156,88.4,741
1157,88.8,744
1158,89.1,748
1159,88.1,739
1160,88.6,743
1161,89.1,748
1162,88.2,740
1163,89,747
1164,88.4,741
1165,89.1,748
1166,88.9,746
1167,88.1,739
1168,88.5,742
1169,89.4,750
1170,88.5,742
1171,89.1,748
1172,88.5,742
1173,88.6,743
1174,88.9,746
1175,88.4,741
1176,88.6,743
1177,89.4,750
1178,88.5,742
1179,87.9,737
1180,88.9,746
1181,88.1,739
1182,89.5,751
1183,89.4,750
1184,88.6,743
1185,88.1,739
1186,89.4,750
1187,88.5,742
1188,88.9,746
1189,88,738
1190,88.9,746
1191,88.6,743
1192,89,747
1193,88.5,742
1194,88.1,739
1195,89.2,749
1196,89.1,748
1197,88,738
1198,89.4,750
1199,88.6,743
1200,88.2,740
1201,89.6,752
1202,88,738
1203,89.4,750
1204,88.1,739
1205,89.4,750
1206,88.5,742
1207,88.5,742
1208,88.4,741
1209,89.1,748
1210,88.6,743
1211,89.1,748
1212,88.6,743
1213,87.9,737
1214,89.1,748
1215,88.6,743
1216,88.8,744
1217,88.2,740
1218,89.5,751
1219,88.8,744
1220,89,747
1221,88.2,740
1222,88.9,746
1223,88.4,741
1224,88.4,741
1225,89.6,752
1226,87.9,737
1227,89,747
1228,88.4,741
1229,89,747
1230,88.4,741
1231,88.8,744
1232,89,747
1233,88.5,742
1234,88.6,743
1235,88.6,743
1236,89,747
1237,88.5,742
1238,89.1,748
1239,88.9,746
1240,89,747
1241,88.4,741
1242,89,747
1243,88.1,739
1244,89.4,750
1245,88.1,739
1246,89.1,748
