Interval,Transfer,Bandwidth
0,143,1200
1,116,976
2,54.1,454
3,53,445
4,54.4,456
5,52.6,441
6,53.4,448
7,53.6,450
8,52.5,440
9,53.8,451
10,52.9,444
11,53.6,450
12,53,445
13,53.8,451
14,52.5,440
15,54.4,456
16,52.6,441
17,53.8,451
18,52.5,440
19,53.6,450
20,53.4,448
21,52.9,444
22,54.4,456
23,52.5,440
24,53.5,449
25,52.9,444
26,53.6,450
27,53.8,451
28,52.5,440
29,53.2,447
30,53.8,451
31,53,445
32,53.2,447
33,53.9,452
34,52.6,441
35,53.8,451
36,52.2,438
37,53.5,449
38,53.6,450
39,53.8,451
40,53.2,447
41,52.6,441
42,53.1,446
43,54.1,454
44,52.8,442
45,53,445
46,53.5,449
47,53.6,450
48,53.2,447
49,52.9,444
50,53.8,451
51,52.9,444
52,53.9,452
53,53.4,448
54,52.6,441
55,53.8,451
56,52.6,441
57,53.6,450
58,53.5,449
59,53.4,448
60,52.4,439
61,54.2,455
62,52.8,442
63,53.8,451
64,53,445
65,52.9,444
66,53.1,446
67,53.8,451
68,52.9,444
69,54.2,455
70,53.2,447
71,52.6,441
72,53,445
73,54,453
74,52.5,440
75,52.9,444
76,53.4,448
77,54.2,455
78,53.4,448
79,53.4,448
80,53.1,446
81,53.4,448
82,53.2,447
83,53.2,447
84,52.9,444
85,53.2,447
86,52.6,441
87,53.6,450
88,53.5,449
89,53.5,449
90,53.4,448
91,52.5,440
92,53.9,452
93,53.8,451
94,52.4,439
95,53.1,446
96,54.2,455
97,52.5,440
98,53.9,452
99,52.8,442
100,53.2,447
101,52.9,444
102,54.1,454
103,52.6,441
104,54.1,454
105,52.8,442
106,53.1,446
107,54.1,454
108,52.9,444
109,53.4,448
110,53.2,447
111,52.9,444
112,53,445
113,54.2,455
114,52.2,438
115,54.2,455
116,52.6,441
117,53.2,447
118,53.8,451
119,53.1,446
120,52.8,442
121,53.9,452
122,52.6,441
123,53.2,447
124,54,453
125,53.5,449
126,52.6,441
127,52.8,442
128,53.9,452
129,53.8,451
130,53.1,446
131,52.8,442
132,53.4,448
133,53.2,447
134,54,453
135,53.2,447
136,52.6,441
137,53.5,449
138,52.8,442
139,53.4,448
140,53,445
141,53.6,450
142,53.8,451
143,52.5,440
144,53.1,446
145,53.8,451
146,54,453
147,53.1,446
148,53,445
149,53.4,448
150,53.5,449
151,53.5,449
152,52.1,437
153,54.4,456
154,52.8,442
155,53.8,451
156,52.9,444
157,53.4,448
158,52.6,441
159,53.8,451
160,53.4,448
161,53.4,448
162,52.9,444
163,53.9,452
164,52.6,441
165,53.8,451
166,53.2,447
167,53.2,447
168,52.8,442
169,52.8,442
170,54.6,458
171,52.8,442
172,52.9,444
173,52.9,444
174,53.8,451
175,53.2,447
176,53.1,446
177,54.1,454
178,53.4,448
179,53.1,446
180,52.9,444
181,52.6,441
182,53.2,447
183,53.8,451
184,53.9,452
185,53,445
186,53,445
187,52.9,444
188,53.6,450
189,53.9,452
190,53.1,446
191,52.9,444
192,53.1,446
193,54.1,454
194,52.1,437
195,54.2,455
196,52.6,441
197,53,445
198,53.8,451
199,53.6,450
200,52.9,444
201,52.8,442
202,54.2,455
203,52.8,442
204,52.9,444
205,54.1,454
206,53.4,448
207,53.2,447
208,53.5,449
209,52.5,440
210,52.8,442
211,54,453
212,53.8,451
213,53.4,448
214,53.1,446
215,52.8,442
216,53.6,450
217,53.4,448
218,53.4,448
219,53.1,446
220,52.5,440
221,53.6,450
222,52.9,444
223,53.2,447
224,54.1,454
225,53.1,446
226,53.5,449
227,53.2,447
228,52.9,444
229,53.8,451
230,52.6,441
231,53,445
232,53.4,448
233,54.1,454
234,52.8,442
235,53.1,446
236,52.9,444
237,54.1,454
238,52.9,444
239,52.8,442
240,53.5,449
241,53.4,448
242,53.1,446
243,53.2,447
244,53.8,451
245,53.2,447
246,52.9,444
247,53,445
248,53.6,450
249,53.2,447
250,53,445
