Interval,Transfer,Bandwidth
0,123,1030
1,122,1020
2,121,1010
3,121,1020
4,121,1010
5,121,1020
6,121,1020
7,121,1020
8,120,1010
9,121,1020
10,122,1020
11,120,1010
12,120,1010
13,120,1000
14,120,1010
15,120,1010
16,119,996
17,120,1010
18,120,1010
19,120,1000
20,119,1000
21,120,1010
22,120,1000
23,120,1000
24,119,999
25,120,1000
26,120,1010
27,119,997
28,119,996
29,120,1010
30,120,1010
31,118,993
32,119,1000
33,119,999
34,120,1000
35,119,996
36,119,997
37,119,1000
38,118,994
39,119,996
40,118,987
41,119,999
42,119,996
43,118,988
44,119,995
45,118,993
46,118,991
47,118,992
48,118,987
49,118,992
50,117,985
51,118,989
52,118,994
53,117,983
54,118,986
55,117,983
56,118,986
57,118,987
58,117,981
59,118,989
60,117,980
61,116,977
62,117,984
63,117,980
64,116,975
65,117,980
66,117,983
67,117,978
68,116,973
69,116,977
70,116,977
71,116,975
72,115,965
73,114,958
74,116,969
75,116,973
76,116,973
77,116,975
78,115,966
79,116,969
80,115,963
81,116,969
82,115,965
83,116,972
84,115,965
85,115,962
86,114,960
87,115,964
88,115,964
89,114,959
90,114,960
91,115,962
92,114,958
93,114,953
94,114,960
95,114,955
96,114,960
97,113,950
98,114,957
99,113,951
100,113,950
101,114,960
102,113,947
103,114,953
104,112,944
105,113,946
106,114,953
107,113,945
108,113,951
109,113,945
110,112,941
111,113,945
112,112,935
113,113,947
114,111,933
115,112,940
116,112,941
117,112,936
118,112,936
119,112,936
120,111,928
121,110,927
122,112,941
123,110,924
124,111,929
125,111,929
126,110,924
127,110,927
128,111,929
129,110,925
130,110,923
131,109,912
132,110,921
133,110,926
134,109,916
135,108,907
136,110,923
137,109,914
138,109,911
139,108,909
140,108,905
141,109,913
142,107,901
143,108,906
144,108,905
145,107,901
146,107,895
147,107,900
148,108,903
149,106,893
150,106,892
151,106,890
152,107,894
153,105,884
154,106,888
155,106,888
156,105,879
157,105,881
158,105,883
159,104,869
160,104,870
161,105,882
162,104,871
163,102,859
164,103,866
165,103,867
166,102,858
167,101,848
168,102,857
169,102,855
170,99.9,838
171,101,848
172,99.8,837
173,99.5,835
174,98.1,823
175,97.9,821
176,96.4,808
177,96.6,811
178,92.1,773
179,88.4,741
180,89.2,749
181,88.5,742
182,89.1,748
183,88.4,741
184,89.5,751
185,88.1,739
186,88.8,744
187,88.8,744
188,89.4,750
189,88.1,739
190,88.9,746
191,88.5,742
192,88.6,743
193,88.5,742
194,89.9,754
195,88,738
196,88.4,741
197,89.4,750
198,88.4,741
199,89.6,752
200,87.6,735
201,89.8,753
202,88.5,742
203,88.4,741
204,89,747
205,89.1,748
206,88,738
207,88,738
208,89.5,751
209,88.2,740
210,89.4,750
211,88.5,742
212,89.2,749
213,87.8,736
214,89.9,754
215,87.9,737
216,89.4,750
